Area,#Habitaciones,#Banhos,Precio,Barrio,FechaDescarga
110.0,Sin especificar,1,670000000.0,Chapinero central,2023-03-12
38.0,Sin especificar,Sin especificar,300000000.0,Chapinero central,2023-03-12
1043.0,19,9,3900000000.0,Chapinero central,2023-03-12
17.0,Sin especificar,1,75000000.0,Chapinero norte,2023-03-12
60.0,Sin especificar,Sin especificar,255000000.0,Chapinero central,2023-03-12
51.0,Sin especificar,Sin especificar,240000000.0,Chapinero central,2023-03-12
45.0,Sin especificar,Sin especificar,240000000.0,Chapinero central,2023-03-12
49.0,Sin especificar,Sin especificar,280000000.0,Chapinero central,2023-03-12
3.2,Sin especificar,Sin especificar,29000000.0,Chapinero central,2023-03-12
15.0,4,3,320000000.0,Chapinero central,2023-03-12
210.0,Sin especificar,4,1200000000.0,Chapinero central,2023-03-12
117.0,Sin especificar,Sin especificar,640000000.0,Chapinero central,2023-03-12
21.0,Sin especificar,1,90000000.0,Chapinero central,2023-03-12
16.0,Sin especificar,3,135000000.0,Chapinero central,2023-03-12
16.0,Sin especificar,Sin especificar,60000000.0,Chapinero central,2023-03-12
24.0,Sin especificar,1,90000000.0,Chapinero norte,2023-03-12
27.44,Sin especificar,1,210000000.0,Chapinero norte,2023-03-12
32.0,1,1,170000000.0,Chapinero central,2023-03-12
80.0,2,2,420000000.0,La salle,2023-03-12
31.0,1,1,190000000.0,Chapinero central,2023-03-12
20.45,Sin especificar,Sin especificar,90000000.0,Chapinero central,2023-03-12
127.0,Sin especificar,2,1250000000.0,Chapinero central,2023-03-12
25.0,Sin especificar,1,250000000.0,Chapinero norte,2023-03-12
63.0,2,2,370000000.0,La salle,2023-03-12
63.0,2,2,410000000.0,La salle,2023-03-12
